#Contract;ISIN;Coupon;Maturity;ConvFac
CONF SI 20230608 PS;CH0024524966;2.500000;08.03.2036;0.695359
CONF SI 20230608 PS;CH0557778310;0.250000;23.06.2035;0.517929
CONF SI 20230608 PS;CH0127181029;2.250000;22.06.2031;0.767133
CONF SI 20230608 PS;CH0344958688;0.500000;27.06.2032;0.625907
CONF SI 20230608 PS;CH0440081393;0.000000;26.06.2034;0.526788
CONF SI 20230608 PS;CH0015803239;3.500000;08.04.2033;0.819222
CONF SI 20230907 PS;CH0024524966;2.500000;08.03.2036;0.699435
CONF SI 20230907 PS;CH0344958688;0.500000;27.06.2032;0.633841
CONF SI 20230907 PS;CH0557778310;0.250000;23.06.2035;0.524904
CONF SI 20230907 PS;CH0440081393;0.000000;26.06.2034;0.534518
CONF SI 20230907 PS;CH0015803239;3.500000;08.04.2033;0.822621
CONF SI 20231207 PS;CH0024524966;2.500000;08.03.2036;0.703662
CONF SI 20231207 PS;CH0015803239;3.500000;08.04.2033;0.826199
CONF SI 20231207 PS;CH0557778310;0.250000;23.06.2035;0.531991
CONF SI 20231207 PS;CH0440081393;0.000000;26.06.2034;0.542361
CONF SI 20231207 PS;CH0344958688;0.500000;27.06.2032;0.641911
FBON SI 20230608 PS;ES0000012K61;2.550000;31.10.2032;0.757495
FBON SI 20230608 PS;ES0000012L52;3.150000;30.04.2033;0.791780
FBON SI 20230608 PS;ES0000012K20;0.700000;30.04.2032;0.643081
FBON SI 20230907 PS;ES0000012K20;0.700000;30.04.2032;0.650737
FBON SI 20230907 PS;ES0000012K61;2.550000;31.10.2032;0.762452
FBON SI 20230907 PS;ES0000012L52;3.150000;30.04.2033;0.795556
FBON SI 20231207 PS;ES0000012K61;2.550000;31.10.2032;0.767400
FBON SI 20231207 PS;ES0000012L52;3.150000;30.04.2033;0.799502
FBTM SI 20230608 PS;IT0005467482;0.450000;15.02.2029;0.739788
FBTM SI 20230608 PS;IT0005521981;3.400000;01.04.2028;0.895948
FBTM SI 20230608 PS;IT0005323032;2.000000;01.02.2028;0.843251
