reference_date,rate
01-10-2019,-500
02-10-2019,-500
03-10-2019,-500
04-10-2019,-500
07-10-2019,-500
08-10-2019,-500
09-10-2019,-500
10-10-2019,-500
11-10-2019,-500
14-10-2019,-500
15-10-2019,-500
16-10-2019,-500
17-10-2019,-500
18-10-2019,-500
21-10-2019,-500
22-10-2019,-500
23-10-2019,-500
24-10-2019,-500
25-10-2019,-500
28-10-2019,-500
29-10-2019,-500
30-10-2019,-500
31-10-2019,-500
01-11-2019,-500
04-11-2019,-500
05-11-2019,-500
06-11-2019,-500
07-11-2019,-500
08-11-2019,-500
11-11-2019,-500
12-11-2019,-500
13-11-2019,-500
14-11-2019,-500
15-11-2019,-500
18-11-2019,-500
19-11-2019,-500
20-11-2019,-500
21-11-2019,-500
22-11-2019,-500
25-11-2019,-500
26-11-2019,-500
27-11-2019,-500
28-11-2019,-500
29-11-2019,-500
02-12-2019,-500
03-12-2019,-500
04-12-2019,-500
05-12-2019,-500
06-12-2019,-500
09-12-2019,-500
10-12-2019,-500
11-12-2019,-500
12-12-2019,-500
13-12-2019,-500
16-12-2019,-500
17-12-2019,-500
18-12-2019,-500
19-12-2019,-500
20-12-2019,-500
23-12-2019,-500
24-12-2019,-500
27-12-2019,-500
30-12-2019,-500
31-12-2019,-500
02-01-2020,-500
03-01-2020,-500
06-01-2020,-500
07-01-2020,-500
08-01-2020,-500
09-01-2020,-500
10-01-2020,-500
13-01-2020,-500
14-01-2020,-500
15-01-2020,-500
16-01-2020,-500
17-01-2020,-500
20-01-2020,-500
21-01-2020,-500
22-01-2020,-500
23-01-2020,-500
24-01-2020,-500
27-01-2020,-500
28-01-2020,-500
29-01-2020,-500
30-01-2020,-500
31-01-2020,-500
03-02-2020,-500
04-02-2020,-500
05-02-2020,-500
06-02-2020,-500
07-02-2020,-500
10-02-2020,-500
11-02-2020,-500
12-02-2020,-500
13-02-2020,-500
14-02-2020,-500
17-02-2020,-500
18-02-2020,-500
19-02-2020,-500
20-02-2020,-500
21-02-2020,-500
24-02-2020,-500
25-02-2020,-500
26-02-2020,-500
27-02-2020,-500
28-02-2020,-500
02-03-2020,-500
03-03-2020,-500
04-03-2020,-500
05-03-2020,-500
06-03-2020,-500
09-03-2020,-500
10-03-2020,-500
11-03-2020,-500
12-03-2020,-500
13-03-2020,-500
16-03-2020,-500
17-03-2020,-500
18-03-2020,-500
19-03-2020,-500
20-03-2020,-500
23-03-2020,-500
24-03-2020,-500
25-03-2020,-500
26-03-2020,-500
27-03-2020,-500
30-03-2020,-500
