reference_date,rate
01-01-2025,6.6
31-12-2024,7.15
30-12-2024,6.9
27-12-2024,6.9
26-12-2024,6.75
24-12-2024,6.86
23-12-2024,6.84
20-12-2024,6.89
19-12-2024,6.84
18-12-2024,6.82
17-12-2024,6.84
16-12-2024,6.79
13-12-2024,6.76
12-12-2024,6.76
11-12-2024,6.84
10-12-2024,6.8
09-12-2024,6.67
06-12-2024,6.54
05-12-2024,6.6
04-12-2024,6.5
03-12-2024,6.5
02-12-2024,6.6
29-11-2024,6.76
28-11-2024,6.82
27-11-2024,6.84
26-11-2024,6.84
25-11-2024,6.85
22-11-2024,6.84
21-11-2024,6.71
19-11-2024,6.57
18-11-2024,6.52
14-11-2024,6.5
13-11-2024,6.46
12-11-2024,6.54
11-11-2024,6.5
08-11-2024,6.5
07-11-2024,6.49
06-11-2024,6.4
05-11-2024,6.4
04-11-2024,6.5
31-10-2024,6.61
30-10-2024,6.5
29-10-2024,6.5
28-10-2024,6.75
25-10-2024,6.7
24-10-2024,6.75
23-10-2024,6.78
22-10-2024,6.73
21-10-2024,6.5
18-10-2024,6.5
17-10-2024,6.5
16-10-2024,6.5
15-10-2024,6.5
14-10-2024,6.5
11-10-2024,6.5
10-10-2024,6.5
09-10-2024,6.5
08-10-2024,6.5
07-10-2024,6.5
04-10-2024,6.5
03-10-2024,6.54
01-10-2024,6.55
30-09-2024,6.76
27-09-2024,6.6
26-09-2024,6.65
25-09-2024,6.8
24-09-2024,6.8
23-09-2024,6.8
20-09-2024,6.75
19-09-2024,6.74
17-09-2024,6.7
16-09-2024,6.71
13-09-2024,6.71
12-09-2024,6.6
11-09-2024,6.6
10-09-2024,6.6
09-09-2024,6.6
06-09-2024,6.6
05-09-2024,6.55
04-09-2024,6.55
03-09-2024,6.55
02-09-2024,6.55
30-08-2024,6.8
29-08-2024,6.7
28-08-2024,6.6
27-08-2024,6.6
26-08-2024,6.6
23-08-2024,6.6
22-08-2024,6.6
21-08-2024,6.6
20-08-2024,6.59
19-08-2024,6.55
16-08-2024,6.55
14-08-2024,6.55
13-08-2024,6.55
12-08-2024,6.55
09-08-2024,6.65
08-08-2024,6.75
07-08-2024,6.5
06-08-2024,6.5
05-08-2024,6.55
02-08-2024,6.55
01-08-2024,6.55
31-07-2024,6.55
30-07-2024,6.55
29-07-2024,6.55
26-07-2024,6.55
25-07-2024,6.66
24-07-2024,6.79
23-07-2024,6.77
22-07-2024,6.69
19-07-2024,6.6
18-07-2024,6.55
16-07-2024,6.55
15-07-2024,6.55
12-07-2024,6.55
11-07-2024,6.55
10-07-2024,6.55
09-07-2024,6.55
08-07-2024,6.62
05-07-2024,6.6
04-07-2024,6.55
03-07-2024,6.55
02-07-2024,6.55
01-07-2024,6.6
28-06-2024,6.86
27-06-2024,6.81
26-06-2024,6.65
25-06-2024,6.61
24-06-2024,6.77
21-06-2024,6.78
20-06-2024,6.7
19-06-2024,6.74
18-06-2024,6.85
14-06-2024,6.79
13-06-2024,6.55
12-06-2024,6.6
11-06-2024,6.6
10-06-2024,6.6
07-06-2024,6.59
06-06-2024,6.6
05-06-2024,6.58
04-06-2024,6.54
03-06-2024,6.52
31-05-2024,6.76
30-05-2024,6.55
29-05-2024,6.55
28-05-2024,6.55
27-05-2024,6.75
24-05-2024,6.8
22-05-2024,6.85
21-05-2024,6.83
17-05-2024,6.78
16-05-2024,6.55
15-05-2024,6.55
14-05-2024,6.81
13-05-2024,6.82
10-05-2024,6.8
09-05-2024,6.78
08-05-2024,6.68
07-05-2024,6.59
06-05-2024,6.5
03-05-2024,6.5
02-05-2024,6.63
30-04-2024,6.75
29-04-2024,6.78
26-04-2024,6.79
25-04-2024,6.8
24-04-2024,6.76
23-04-2024,6.74
22-04-2024,6.7
19-04-2024,6.63
18-04-2024,6.6
16-04-2024,6.6
15-04-2024,6.66
12-04-2024,6.69
10-04-2024,6.64
08-04-2024,6.56
05-04-2024,6.56
04-04-2024,6.55
03-04-2024,6.54
02-04-2024,6.54
28-03-2024,7.9
27-03-2024,6.72
26-03-2024,6.83
22-03-2024,6.85
21-03-2024,6.79
20-03-2024,6.55
19-03-2024,6.65
18-03-2024,6.75
15-03-2024,6.74
14-03-2024,6.55
13-03-2024,6.66
12-03-2024,6.73
11-03-2024,6.8
07-03-2024,6.62
06-03-2024,6.52
05-03-2024,6.54
04-03-2024,6.6
01-03-2024,6.7
29-02-2024,6.8
28-02-2024,6.5
27-02-2024,6.8
26-02-2024,6.8
23-02-2024,6.7
22-02-2024,6.65
21-02-2024,6.7
20-02-2024,6.79
16-02-2024,6.75
15-02-2024,6.75
14-02-2024,6.8
13-02-2024,6.85
12-02-2024,6.85
09-02-2024,6.85
08-02-2024,6.75
07-02-2024,6.55
06-02-2024,6.55
05-02-2024,6.54
02-02-2024,6.66
01-02-2024,6.85
31-01-2024,6.85
30-01-2024,6.85
29-01-2024,6.85
25-01-2024,6.86
24-01-2024,6.85
23-01-2024,6.85
19-01-2024,6.85
18-01-2024,6.85
17-01-2024,6.85
16-01-2024,6.85
15-01-2024,6.85
12-01-2024,6.85
11-01-2024,6.85
10-01-2024,6.85
09-01-2024,6.85
08-01-2024,6.85
05-01-2024,6.8
04-01-2024,6.8
03-01-2024,6.85
02-01-2024,6.89
01-01-2024,6.9
29-12-2023,6.9
28-12-2023,6.9
27-12-2023,6.9
26-12-2023,6.9
22-12-2023,6.89
21-12-2023,6.9
20-12-2023,6.89
19-12-2023,6.88
18-12-2023,6.8
15-12-2023,6.79
14-12-2023,6.85
13-12-2023,6.85
12-12-2023,6.85
11-12-2023,6.85
08-12-2023,6.8
07-12-2023,6.8
06-12-2023,6.82
05-12-2023,6.85
04-12-2023,6.85
01-12-2023,6.9
30-11-2023,6.9
29-11-2023,6.9
28-11-2023,6.9
24-11-2023,6.89
23-11-2023,6.89
22-11-2023,6.89
21-11-2023,6.89
20-11-2023,6.89
17-11-2023,6.9
16-11-2023,6.89
15-11-2023,6.89
13-11-2023,6.87
10-11-2023,6.88
09-11-2023,6.86
08-11-2023,6.85
07-11-2023,6.84
06-11-2023,6.85
03-11-2023,6.84
02-11-2023,6.81
01-11-2023,6.84
31-10-2023,6.84
30-10-2023,6.85
27-10-2023,6.84
26-10-2023,6.84
25-10-2023,6.84
23-10-2023,6.85
20-10-2023,6.85
19-10-2023,6.82
18-10-2023,6.82
17-10-2023,6.82
16-10-2023,6.84
13-10-2023,6.84
12-10-2023,6.84
11-10-2023,6.83
10-10-2023,6.8
09-10-2023,6.84
06-10-2023,6.73
05-10-2023,6.83
04-10-2023,6.85
03-10-2023,6.85
29-09-2023,6.95
28-09-2023,6.84
27-09-2023,6.84
26-09-2023,6.82
25-09-2023,6.85
22-09-2023,6.91
21-09-2023,6.9
20-09-2023,6.9
18-09-2023,6.89
15-09-2023,6.85
14-09-2023,6.83
13-09-2023,6.83
12-09-2023,6.83
11-09-2023,6.74
08-09-2023,6.85
07-09-2023,6.45
06-09-2023,6.36
05-09-2023,6.5
04-09-2023,6.54
01-09-2023,6.66
31-08-2023,6.69
30-08-2023,6.8
29-08-2023,6.84
28-08-2023,6.85
25-08-2023,6.84
24-08-2023,6.85
23-08-2023,6.85
22-08-2023,6.84
21-08-2023,6.85
18-08-2023,6.74
17-08-2023,6.85
14-08-2023,6.65
11-08-2023,6.68
10-08-2023,6.51
09-08-2023,6.43
08-08-2023,6.4
07-08-2023,6.4
04-08-2023,6.4
03-08-2023,6.39
02-08-2023,6.4
01-08-2023,6.43
31-07-2023,6.6
28-07-2023,6.5
27-07-2023,6.43
26-07-2023,6.5
25-07-2023,6.65
24-07-2023,6.65
21-07-2023,6.66
20-07-2023,6.54
19-07-2023,6.45
18-07-2023,6.5
17-07-2023,6.5
14-07-2023,6.45
13-07-2023,6.46
12-07-2023,6.5
11-07-2023,6.6
10-07-2023,6.6
07-07-2023,6.65
06-07-2023,6.48
05-07-2023,6.44
04-07-2023,6.43
03-07-2023,6.45
30-06-2023,6.9
28-06-2023,6.88
27-06-2023,6.89
26-06-2023,6.8
23-06-2023,6.61
22-06-2023,6.44
21-06-2023,6.55
20-06-2023,6.65
19-06-2023,6.72
16-06-2023,6.73
15-06-2023,6.65
14-06-2023,6.59
13-06-2023,6.44
12-06-2023,6.55
09-06-2023,6.7
08-06-2023,6.65
07-06-2023,6.49
06-06-2023,6.39
05-06-2023,6.37
02-06-2023,6.44
01-06-2023,6.39
31-05-2023,6.4
30-05-2023,6.4
29-05-2023,6.4
26-05-2023,6.4
25-05-2023,6.44
24-05-2023,6.44
23-05-2023,6.45
22-05-2023,6.45
19-05-2023,6.4
18-05-2023,6.55
17-05-2023,6.6
16-05-2023,6.88
15-05-2023,6.89
12-05-2023,6.89
11-05-2023,6.9
10-05-2023,6.89
09-05-2023,6.9
08-05-2023,6.85
04-05-2023,6.88
03-05-2023,6.74
02-05-2023,6.65
28-04-2023,6.9
27-04-2023,6.85
26-04-2023,6.85
25-04-2023,6.85
24-04-2023,6.76
21-04-2023,6.74
20-04-2023,6.61
19-04-2023,6.64
18-04-2023,6.69
17-04-2023,6.46
13-04-2023,6.38
12-04-2023,6.39
11-04-2023,6.39
10-04-2023,6.4
06-04-2023,6.66
05-04-2023,6.35
03-04-2023,6.4
31-03-2023,7.79
29-03-2023,6.85
28-03-2023,6.8
27-03-2023,6.73
24-03-2023,6.61
23-03-2023,6.72
21-03-2023,6.75
20-03-2023,6.8
17-03-2023,6.74
16-03-2023,6.58
15-03-2023,6.4
14-03-2023,6.39
13-03-2023,6.4
10-03-2023,6.35
09-03-2023,6.41
08-03-2023,6.38
06-03-2023,6.35
03-03-2023,6.35
02-03-2023,6.39
01-03-2023,6.4
28-02-2023,6.7
27-02-2023,6.7
24-02-2023,6.77
23-02-2023,6.6
22-02-2023,6.69
21-02-2023,6.64
20-02-2023,6.66
17-02-2023,6.35
16-02-2023,6.35
15-02-2023,6.35
14-02-2023,6.42
13-02-2023,6.56
10-02-2023,6.67
09-02-2023,6.77
08-02-2023,6.4
07-02-2023,6.14
06-02-2023,6.11
03-02-2023,6.14
02-02-2023,6.13
01-02-2023,6.32
31-01-2023,6.5
30-01-2023,6.53
27-01-2023,6.47
25-01-2023,6.51
24-01-2023,6.5
23-01-2023,6.46
20-01-2023,6.29
19-01-2023,6.1
18-01-2023,6.24
17-01-2023,6.33
16-01-2023,6.14
13-01-2023,6.25
12-01-2023,6.09
11-01-2023,6.09
10-01-2023,6.1
09-01-2023,6.09
06-01-2023,6.07
05-01-2023,6.09
04-01-2023,6.08
03-01-2023,6.15
02-01-2023,6.21
30-12-2022,6.6
29-12-2022,6.37
28-12-2022,6.32
27-12-2022,6.4
26-12-2022,6.53
23-12-2022,6.53
22-12-2022,6.59
21-12-2022,6.5
20-12-2022,6.57
19-12-2022,6.56
16-12-2022,6.44
15-12-2022,6.26
14-12-2022,6.14
13-12-2022,6.14
12-12-2022,6.15
09-12-2022,6.15
08-12-2022,6.15
07-12-2022,6.13
06-12-2022,5.8
05-12-2022,5.78
02-12-2022,5.83
01-12-2022,5.79
30-11-2022,5.86
29-11-2022,6.04
28-11-2022,6.16
25-11-2022,6.19
24-11-2022,6.22
23-11-2022,6.25
22-11-2022,6.21
21-11-2022,6.05
18-11-2022,5.91
17-11-2022,5.88
16-11-2022,5.87
15-11-2022,5.87
14-11-2022,5.87
11-11-2022,5.91
10-11-2022,5.93
09-11-2022,5.96
07-11-2022,5.85
04-11-2022,5.92
03-11-2022,5.83
02-11-2022,5.99
01-11-2022,6.18
31-10-2022,6.25
28-10-2022,6.23
27-10-2022,6.22
25-10-2022,6.24
21-10-2022,6.25
20-10-2022,6.18
19-10-2022,6.16
18-10-2022,6.24
17-10-2022,6.23
14-10-2022,6.25
13-10-2022,6.21
12-10-2022,6.21
11-10-2022,6.22
10-10-2022,6.02
07-10-2022,5.84
06-10-2022,5.79
04-10-2022,5.8
03-10-2022,5.81
30-09-2022,6.17
29-09-2022,5.74
28-09-2022,5.68
27-09-2022,5.61
26-09-2022,5.49
23-09-2022,5.61
22-09-2022,5.73
21-09-2022,5.75
20-09-2022,5.71
19-09-2022,5.55
16-09-2022,5.49
15-09-2022,5.39
14-09-2022,5.3
13-09-2022,5.31
12-09-2022,5.29
09-09-2022,5.34
08-09-2022,5.25
07-09-2022,5.25
06-09-2022,5.27
05-09-2022,5.3
02-09-2022,5.3
01-09-2022,5.57
30-08-2022,5.34
29-08-2022,5.32
26-08-2022,5.35
25-08-2022,5.3
24-08-2022,5.3
23-08-2022,5.31
22-08-2022,5.31
19-08-2022,5.3
18-08-2022,5.26
17-08-2022,5.26
12-08-2022,5.36
11-08-2022,5.23
10-08-2022,5.26
08-08-2022,5.29
05-08-2022,5.14
04-08-2022,4.78
03-08-2022,4.8
02-08-2022,4.85
01-08-2022,4.94
29-07-2022,5.25
28-07-2022,5.34
27-07-2022,5.32
26-07-2022,5.33
25-07-2022,5.26
22-07-2022,5.19
21-07-2022,4.95
20-07-2022,4.9
19-07-2022,4.9
18-07-2022,4.85
15-07-2022,4.87
14-07-2022,4.85
13-07-2022,4.85
12-07-2022,4.85
11-07-2022,4.85
08-07-2022,4.85
07-07-2022,4.85
06-07-2022,4.85
05-07-2022,4.87
04-07-2022,4.87
01-07-2022,4.9
30-06-2022,4.95
29-06-2022,4.9
28-06-2022,4.89
27-06-2022,4.86
24-06-2022,4.85
23-06-2022,4.81
22-06-2022,4.81
21-06-2022,4.81
20-06-2022,4.8
17-06-2022,4.8
16-06-2022,4.78
15-06-2022,4.79
14-06-2022,4.79
13-06-2022,4.77
10-06-2022,4.78
09-06-2022,4.79
08-06-2022,4.51
07-06-2022,4.29
06-06-2022,4.33
03-06-2022,4.31
02-06-2022,4.28
01-06-2022,4.31
31-05-2022,4.27
30-05-2022,4.3
27-05-2022,4.3
26-05-2022,4.3
25-05-2022,4.3
24-05-2022,4.3
23-05-2022,4.31
20-05-2022,4.3
19-05-2022,4.28
18-05-2022,4.29
17-05-2022,4.29
13-05-2022,4.3
12-05-2022,4.26
11-05-2022,4.29
10-05-2022,4.3
09-05-2022,4.3
06-05-2022,4.3
05-05-2022,4.27
04-05-2022,3.85
02-05-2022,3.86
29-04-2022,3.93
28-04-2022,3.85
27-04-2022,3.83
26-04-2022,3.81
25-04-2022,3.8
22-04-2022,3.8
21-04-2022,3.78
20-04-2022,3.78
19-04-2022,3.79
18-04-2022,3.78
13-04-2022,3.81
12-04-2022,3.72
11-04-2022,3.74
08-04-2022,3.61
07-04-2022,3.42
06-04-2022,3.45
05-04-2022,3.43
04-04-2022,3.39
31-03-2022,3.9
30-03-2022,3.47
29-03-2022,3.49
28-03-2022,3.45
25-03-2022,3.47
24-03-2022,3.5
23-03-2022,3.5
22-03-2022,3.53
21-03-2022,3.53
17-03-2022,3.53
16-03-2022,3.4
15-03-2022,3.41
14-03-2022,3.41
11-03-2022,3.49
10-03-2022,3.57
09-03-2022,3.54
08-03-2022,3.5
07-03-2022,3.49
04-03-2022,3.47
03-03-2022,3.45
02-03-2022,3.42
28-02-2022,3.43
25-02-2022,3.47
24-02-2022,3.45
23-02-2022,3.48
22-02-2022,3.5
21-02-2022,3.48
18-02-2022,3.46
17-02-2022,3.41
16-02-2022,3.42
15-02-2022,3.41
14-02-2022,3.47
11-02-2022,3.48
10-02-2022,3.49
09-02-2022,3.5
08-02-2022,3.45
04-02-2022,3.51
03-02-2022,3.44
02-02-2022,3.59
01-02-2022,3.52
31-01-2022,3.4
28-01-2022,3.93
27-01-2022,3.97
25-01-2022,4
24-01-2022,4.4
21-01-2022,4.47
20-01-2022,4.33
19-01-2022,3.91
18-01-2022,3.68
17-01-2022,3.55
14-01-2022,3.5
13-01-2022,3.45
12-01-2022,3.51
11-01-2022,3.53
10-01-2022,3.46
07-01-2022,3.45
06-01-2022,3.41
05-01-2022,3.41
04-01-2022,3.49
03-01-2022,3.49
31-12-2021,3.6
30-12-2021,3.54
29-12-2021,3.5
28-12-2021,3.58
27-12-2021,3.51
24-12-2021,3.59
23-12-2021,3.69
22-12-2021,3.56
21-12-2021,3.77
20-12-2021,3.47
17-12-2021,4.05
16-12-2021,3.57
15-12-2021,3.45
14-12-2021,3.45
13-12-2021,3.45
10-12-2021,3.45
09-12-2021,3.45
08-12-2021,3.44
07-12-2021,3.45
06-12-2021,3.44
03-12-2021,3.46
02-12-2021,3.45
01-12-2021,3.45
30-11-2021,3.41
29-11-2021,3.4
26-11-2021,3.43
25-11-2021,3.42
24-11-2021,3.41
23-11-2021,3.63
22-11-2021,3.48
18-11-2021,3.45
17-11-2021,3.38
16-11-2021,3.39
