reference_date,rate
09-06-2015,0.074
10-06-2015,0.089
11-06-2015,0.074
12-06-2015,0.074
15-06-2015,0.073
16-06-2015,0.073
17-06-2015,0.076
18-06-2015,0.074
19-06-2015,0.074
22-06-2015,0.073
23-06-2015,0.074
24-06-2015,0.077
25-06-2015,0.073
26-06-2015,0.073
29-06-2015,0.072
30-06-2015,0.011
01-07-2015,0.062
02-07-2015,0.072
03-07-2015,0.075
06-07-2015,0.075
07-07-2015,0.075
08-07-2015,0.075
09-07-2015,0.075
10-07-2015,0.076
13-07-2015,0.075
14-07-2015,0.076
15-07-2015,0.076
16-07-2015,0.075
17-07-2015,0.074
21-07-2015,0.076
22-07-2015,0.075
23-07-2015,0.076
24-07-2015,0.076
27-07-2015,0.075
28-07-2015,0.075
29-07-2015,0.074
30-07-2015,0.075
31-07-2015,0.064
03-08-2015,0.074
04-08-2015,0.076
05-08-2015,0.078
06-08-2015,0.076
07-08-2015,0.076
10-08-2015,0.075
11-08-2015,0.076
12-08-2015,0.077
13-08-2015,0.075
14-08-2015,0.076
17-08-2015,0.077
18-08-2015,0.083
19-08-2015,0.077
20-08-2015,0.076
21-08-2015,0.077
24-08-2015,0.076
25-08-2015,0.076
26-08-2015,0.08
27-08-2015,0.076
28-08-2015,0.076
31-08-2015,0.071
01-09-2015,0.076
02-09-2015,0.077
03-09-2015,0.077
04-09-2015,0.076
07-09-2015,0.075
08-09-2015,0.075
09-09-2015,0.075
10-09-2015,0.076
11-09-2015,0.076
14-09-2015,0.076
15-09-2015,0.076
16-09-2015,0.091
17-09-2015,0.076
18-09-2015,0.077
24-09-2015,0.076
25-09-2015,0.077
28-09-2015,0.076
29-09-2015,0.076
30-09-2015,0.01
01-10-2015,0.076
02-10-2015,0.076
05-10-2015,0.077
06-10-2015,0.077
07-10-2015,0.076
08-10-2015,0.077
09-10-2015,0.075
13-10-2015,0.076
14-10-2015,0.076
15-10-2015,0.076
16-10-2015,0.077
19-10-2015,0.076
20-10-2015,0.076
21-10-2015,0.076
22-10-2015,0.076
23-10-2015,0.077
26-10-2015,0.076
27-10-2015,0.076
28-10-2015,0.076
29-10-2015,0.076
30-10-2015,0.074
02-11-2015,0.076
04-11-2015,0.085
05-11-2015,0.077
06-11-2015,0.077
09-11-2015,0.078
10-11-2015,0.077
11-11-2015,0.078
12-11-2015,0.078
13-11-2015,0.078
16-11-2015,0.078
17-11-2015,0.078
18-11-2015,0.084
19-11-2015,0.078
20-11-2015,0.077
24-11-2015,0.078
25-11-2015,0.078
26-11-2015,0.076
27-11-2015,0.077
30-11-2015,0.076
01-12-2015,0.076
02-12-2015,0.077
03-12-2015,0.077
04-12-2015,0.076
07-12-2015,0.077
08-12-2015,0.076
09-12-2015,0.076
10-12-2015,0.077
11-12-2015,0.076
14-12-2015,0.076
15-12-2015,0.076
16-12-2015,0.076
17-12-2015,0.089
18-12-2015,0.075
21-12-2015,0.075
22-12-2015,0.074
24-12-2015,0.086
25-12-2015,0.073
28-12-2015,0.073
29-12-2015,0.073
30-12-2015,0.038
04-01-2016,0.07
05-01-2016,0.074
06-01-2016,0.075
07-01-2016,0.075
08-01-2016,0.077
12-01-2016,0.075
13-01-2016,0.075
14-01-2016,0.075
15-01-2016,0.075
18-01-2016,0.074
19-01-2016,0.076
20-01-2016,0.074
21-01-2016,0.075
22-01-2016,0.075
25-01-2016,0.075
26-01-2016,0.079
27-01-2016,0.076
28-01-2016,0.074
29-01-2016,0.066
01-02-2016,0.058
02-02-2016,0.061
03-02-2016,0.064
04-02-2016,0.066
05-02-2016,0.068
08-02-2016,0.072
09-02-2016,0.073
10-02-2016,0.072
12-02-2016,0.071
15-02-2016,0.074
16-02-2016,0.001
17-02-2016,-0.002
18-02-2016,-0.009
19-02-2016,-0.008
22-02-2016,-0.001
23-02-2016,-0.001
24-02-2016,-0.003
25-02-2016,-0.003
26-02-2016,-0.002
29-02-2016,-0.001
01-03-2016,-0.003
02-03-2016,-0.002
03-03-2016,-0.002
04-03-2016,-0.001
07-03-2016,-0.001
08-03-2016,0
09-03-2016,-0.001
10-03-2016,-0.003
11-03-2016,-0.001
14-03-2016,-0.002
15-03-2016,-0.002
16-03-2016,0.002
17-03-2016,-0.003
18-03-2016,-0.002
22-03-2016,-0.003
23-03-2016,-0.004
24-03-2016,-0.003
25-03-2016,-0.007
28-03-2016,-0.007
29-03-2016,-0.006
30-03-2016,-0.007
31-03-2016,-0.002
01-04-2016,-0.006
04-04-2016,-0.007
05-04-2016,-0.007
06-04-2016,-0.007
07-04-2016,-0.007
08-04-2016,-0.012
11-04-2016,-0.006
12-04-2016,-0.005
13-04-2016,-0.01
14-04-2016,-0.005
15-04-2016,-0.01
18-04-2016,-0.074
19-04-2016,-0.078
20-04-2016,-0.08
21-04-2016,-0.081
22-04-2016,-0.08
25-04-2016,-0.075
26-04-2016,-0.067
27-04-2016,-0.058
28-04-2016,-0.056
02-05-2016,-0.067
06-05-2016,-0.066
09-05-2016,-0.066
10-05-2016,-0.068
11-05-2016,-0.065
12-05-2016,-0.063
13-05-2016,-0.055
16-05-2016,-0.063
17-05-2016,-0.058
18-05-2016,-0.059
19-05-2016,-0.058
20-05-2016,-0.053
23-05-2016,-0.057
24-05-2016,-0.055
25-05-2016,-0.055
26-05-2016,-0.054
27-05-2016,-0.049
30-05-2016,-0.054
31-05-2016,-0.054
01-06-2016,-0.054
02-06-2016,-0.055
03-06-2016,-0.046
06-06-2016,-0.05
07-06-2016,-0.049
08-06-2016,-0.049
09-06-2016,-0.05
10-06-2016,-0.049
13-06-2016,-0.05
14-06-2016,-0.05
15-06-2016,-0.053
16-06-2016,-0.057
17-06-2016,-0.057
20-06-2016,-0.057
21-06-2016,-0.059
22-06-2016,-0.061
23-06-2016,-0.061
24-06-2016,-0.062
27-06-2016,-0.061
28-06-2016,-0.062
29-06-2016,-0.061
30-06-2016,-0.064
01-07-2016,-0.058
04-07-2016,-0.057
05-07-2016,-0.054
06-07-2016,-0.056
07-07-2016,-0.055
08-07-2016,-0.053
11-07-2016,-0.053
12-07-2016,-0.05
13-07-2016,-0.044
14-07-2016,-0.038
15-07-2016,-0.034
19-07-2016,-0.04
20-07-2016,-0.037
21-07-2016,-0.035
22-07-2016,-0.03
25-07-2016,-0.033
26-07-2016,-0.029
27-07-2016,-0.028
28-07-2016,-0.031
29-07-2016,-0.046
01-08-2016,-0.04
02-08-2016,-0.039
03-08-2016,-0.041
04-08-2016,-0.038
05-08-2016,-0.037
08-08-2016,-0.045
09-08-2016,-0.048
10-08-2016,-0.047
12-08-2016,-0.041
15-08-2016,-0.029
16-08-2016,-0.044
17-08-2016,-0.044
18-08-2016,-0.045
19-08-2016,-0.047
22-08-2016,-0.045
23-08-2016,-0.046
24-08-2016,-0.047
25-08-2016,-0.047
26-08-2016,-0.044
29-08-2016,-0.046
30-08-2016,-0.046
31-08-2016,-0.048
01-09-2016,-0.049
02-09-2016,-0.047
05-09-2016,-0.045
06-09-2016,-0.046
07-09-2016,-0.047
08-09-2016,-0.047
09-09-2016,-0.046
12-09-2016,-0.049
13-09-2016,-0.057
14-09-2016,-0.063
15-09-2016,-0.065
16-09-2016,-0.06
20-09-2016,-0.06
21-09-2016,-0.061
23-09-2016,-0.054
26-09-2016,-0.05
27-09-2016,-0.045
28-09-2016,-0.043
29-09-2016,-0.037
30-09-2016,-0.06
03-10-2016,-0.044
04-10-2016,-0.036
05-10-2016,-0.03
06-10-2016,-0.02
07-10-2016,-0.018
11-10-2016,-0.028
12-10-2016,-0.032
13-10-2016,-0.032
14-10-2016,-0.035
17-10-2016,-0.048
18-10-2016,-0.045
19-10-2016,-0.041
20-10-2016,-0.035
21-10-2016,-0.035
24-10-2016,-0.04
25-10-2016,-0.041
26-10-2016,-0.042
27-10-2016,-0.044
28-10-2016,-0.043
31-10-2016,-0.047
01-11-2016,-0.045
02-11-2016,-0.045
04-11-2016,-0.044
07-11-2016,-0.044
08-11-2016,-0.044
09-11-2016,-0.049
10-11-2016,-0.05
11-11-2016,-0.05
14-11-2016,-0.053
15-11-2016,-0.046
16-11-2016,-0.048
17-11-2016,-0.045
18-11-2016,-0.049
21-11-2016,-0.051
22-11-2016,-0.053
24-11-2016,-0.054
25-11-2016,-0.054
28-11-2016,-0.054
29-11-2016,-0.052
30-11-2016,-0.054
01-12-2016,-0.051
02-12-2016,-0.049
05-12-2016,-0.052
06-12-2016,-0.054
07-12-2016,-0.056
08-12-2016,-0.053
09-12-2016,-0.05
12-12-2016,-0.052
13-12-2016,-0.043
14-12-2016,-0.034
15-12-2016,-0.029
16-12-2016,-0.037
19-12-2016,-0.036
20-12-2016,-0.032
21-12-2016,-0.027
22-12-2016,-0.028
26-12-2016,-0.041
27-12-2016,-0.048
28-12-2016,-0.046
29-12-2016,-0.048
30-12-2016,-0.058
04-01-2017,-0.051
05-01-2017,-0.047
06-01-2017,-0.042
10-01-2017,-0.037
11-01-2017,-0.03
12-01-2017,-0.027
13-01-2017,-0.026
16-01-2017,-0.047
17-01-2017,-0.048
18-01-2017,-0.047
19-01-2017,-0.047
20-01-2017,-0.046
23-01-2017,-0.048
24-01-2017,-0.05
25-01-2017,-0.049
26-01-2017,-0.051
27-01-2017,-0.051
30-01-2017,-0.05
31-01-2017,-0.058
01-02-2017,-0.054
02-02-2017,-0.052
03-02-2017,-0.05
06-02-2017,-0.046
07-02-2017,-0.035
08-02-2017,-0.028
09-02-2017,-0.027
10-02-2017,-0.023
13-02-2017,-0.027
14-02-2017,-0.026
15-02-2017,-0.026
16-02-2017,-0.045
17-02-2017,-0.047
20-02-2017,-0.046
21-02-2017,-0.042
22-02-2017,-0.036
23-02-2017,-0.032
24-02-2017,-0.033
27-02-2017,-0.039
28-02-2017,-0.048
01-03-2017,-0.046
02-03-2017,-0.042
03-03-2017,-0.037
06-03-2017,-0.038
07-03-2017,-0.035
08-03-2017,-0.032
09-03-2017,-0.027
10-03-2017,-0.029
13-03-2017,-0.048
14-03-2017,-0.053
15-03-2017,-0.046
16-03-2017,-0.043
17-03-2017,-0.039
21-03-2017,-0.042
22-03-2017,-0.039
23-03-2017,-0.037
24-03-2017,-0.039
27-03-2017,-0.044
28-03-2017,-0.047
29-03-2017,-0.046
30-03-2017,-0.046
31-03-2017,-0.06
03-04-2017,-0.056
04-04-2017,-0.056
05-04-2017,-0.052
06-04-2017,-0.042
07-04-2017,-0.035
10-04-2017,-0.037
11-04-2017,-0.037
12-04-2017,-0.036
13-04-2017,-0.034
14-04-2017,-0.047
17-04-2017,-0.054
18-04-2017,-0.053
19-04-2017,-0.056
20-04-2017,-0.061
21-04-2017,-0.066
24-04-2017,-0.07
25-04-2017,-0.074
26-04-2017,-0.074
27-04-2017,-0.075
28-04-2017,-0.074
01-05-2017,-0.074
02-05-2017,-0.07
08-05-2017,-0.065
09-05-2017,-0.053
10-05-2017,-0.042
11-05-2017,-0.039
12-05-2017,-0.037
15-05-2017,-0.033
16-05-2017,-0.048
17-05-2017,-0.051
18-05-2017,-0.052
19-05-2017,-0.051
22-05-2017,-0.051
23-05-2017,-0.037
24-05-2017,-0.054
25-05-2017,-0.055
26-05-2017,-0.055
29-05-2017,-0.061
30-05-2017,-0.061
31-05-2017,-0.065
01-06-2017,-0.06
02-06-2017,-0.059
05-06-2017,-0.058
06-06-2017,-0.057
07-06-2017,-0.056
08-06-2017,-0.055
09-06-2017,-0.053
12-06-2017,-0.054
13-06-2017,-0.054
14-06-2017,-0.055
15-06-2017,-0.052
16-06-2017,-0.06
19-06-2017,-0.058
20-06-2017,-0.055
21-06-2017,-0.056
22-06-2017,-0.055
23-06-2017,-0.051
26-06-2017,-0.053
27-06-2017,-0.05
28-06-2017,-0.051
29-06-2017,-0.053
30-06-2017,-0.069
03-07-2017,-0.06
04-07-2017,-0.056
05-07-2017,-0.054
06-07-2017,-0.051
07-07-2017,-0.05
10-07-2017,-0.05
11-07-2017,-0.048
12-07-2017,-0.044
13-07-2017,-0.04
14-07-2017,-0.042
18-07-2017,-0.055
19-07-2017,-0.055
20-07-2017,-0.056
21-07-2017,-0.055
24-07-2017,-0.058
25-07-2017,-0.06
26-07-2017,-0.06
27-07-2017,-0.063
28-07-2017,-0.063
31-07-2017,-0.064
01-08-2017,-0.063
02-08-2017,-0.063
03-08-2017,-0.057
04-08-2017,-0.054
07-08-2017,-0.049
08-08-2017,-0.042
09-08-2017,-0.033
10-08-2017,-0.028
14-08-2017,-0.028
15-08-2017,-0.026
16-08-2017,-0.047
17-08-2017,-0.049
18-08-2017,-0.052
21-08-2017,-0.053
22-08-2017,-0.055
23-08-2017,-0.04
24-08-2017,-0.052
25-08-2017,-0.055
28-08-2017,-0.056
29-08-2017,-0.057
30-08-2017,-0.059
31-08-2017,-0.066
01-09-2017,-0.063
04-09-2017,-0.064
05-09-2017,-0.064
06-09-2017,-0.064
07-09-2017,-0.064
08-09-2017,-0.065
11-09-2017,-0.064
12-09-2017,-0.063
13-09-2017,-0.062
14-09-2017,-0.059
15-09-2017,-0.06
19-09-2017,-0.061
20-09-2017,-0.057
21-09-2017,-0.054
22-09-2017,-0.046
25-09-2017,-0.042
26-09-2017,-0.046
27-09-2017,-0.048
28-09-2017,-0.048
29-09-2017,-0.063
02-10-2017,-0.047
03-10-2017,-0.043
04-10-2017,-0.035
05-10-2017,-0.032
06-10-2017,-0.028
10-10-2017,-0.029
11-10-2017,-0.024
12-10-2017,-0.021
13-10-2017,-0.021
16-10-2017,-0.043
17-10-2017,-0.043
18-10-2017,-0.041
19-10-2017,-0.042
20-10-2017,-0.041
23-10-2017,-0.042
24-10-2017,-0.041
25-10-2017,-0.041
26-10-2017,-0.041
27-10-2017,-0.039
30-10-2017,-0.04
31-10-2017,-0.046
01-11-2017,-0.044
02-11-2017,-0.044
06-11-2017,-0.046
07-11-2017,-0.045
08-11-2017,-0.044
09-11-2017,-0.044
10-11-2017,-0.044
13-11-2017,-0.048
14-11-2017,-0.048
15-11-2017,-0.045
16-11-2017,-0.046
17-11-2017,-0.048
20-11-2017,-0.047
21-11-2017,-0.05
22-11-2017,-0.054
24-11-2017,-0.054
27-11-2017,-0.053
28-11-2017,-0.053
29-11-2017,-0.053
30-11-2017,-0.055
01-12-2017,-0.056
04-12-2017,-0.052
05-12-2017,-0.05
06-12-2017,-0.034
07-12-2017,-0.043
08-12-2017,-0.038
11-12-2017,-0.036
12-12-2017,-0.034
13-12-2017,-0.032
14-12-2017,-0.026
15-12-2017,-0.037
18-12-2017,-0.046
19-12-2017,-0.048
20-12-2017,-0.047
21-12-2017,-0.046
22-12-2017,-0.045
25-12-2017,-0.043
26-12-2017,-0.039
27-12-2017,-0.037
28-12-2017,-0.036
29-12-2017,-0.062
04-01-2018,-0.047
05-01-2018,-0.042
09-01-2018,-0.038
10-01-2018,-0.036
11-01-2018,-0.03
12-01-2018,-0.027
15-01-2018,-0.029
16-01-2018,-0.042
17-01-2018,-0.042
18-01-2018,-0.042
19-01-2018,-0.041
22-01-2018,-0.041
23-01-2018,-0.041
24-01-2018,-0.036
25-01-2018,-0.041
26-01-2018,-0.04
29-01-2018,-0.043
30-01-2018,-0.044
31-01-2018,-0.05
01-02-2018,-0.045
02-02-2018,-0.042
05-02-2018,-0.044
06-02-2018,-0.041
07-02-2018,-0.038
08-02-2018,-0.036
09-02-2018,-0.034
13-02-2018,-0.032
14-02-2018,-0.029
15-02-2018,-0.033
16-02-2018,-0.042
19-02-2018,-0.044
20-02-2018,-0.045
21-02-2018,-0.048
22-02-2018,-0.048
23-02-2018,-0.046
26-02-2018,-0.048
27-02-2018,-0.048
28-02-2018,-0.053
01-03-2018,-0.052
02-03-2018,-0.05
05-03-2018,-0.054
06-03-2018,-0.053
07-03-2018,-0.055
08-03-2018,-0.057
09-03-2018,-0.061
12-03-2018,-0.065
13-03-2018,-0.068
14-03-2018,-0.068
15-03-2018,-0.069
16-03-2018,-0.063
19-03-2018,-0.062
20-03-2018,-0.061
22-03-2018,-0.063
23-03-2018,-0.064
26-03-2018,-0.064
27-03-2018,-0.066
28-03-2018,-0.066
29-03-2018,-0.066
30-03-2018,-0.068
02-04-2018,-0.067
03-04-2018,-0.067
04-04-2018,-0.063
05-04-2018,-0.062
06-04-2018,-0.059
09-04-2018,-0.058
10-04-2018,-0.055
11-04-2018,-0.053
12-04-2018,-0.047
13-04-2018,-0.044
16-04-2018,-0.059
17-04-2018,-0.063
18-04-2018,-0.063
19-04-2018,-0.069
20-04-2018,-0.07
23-04-2018,-0.071
24-04-2018,-0.072
25-04-2018,-0.072
26-04-2018,-0.071
27-04-2018,-0.067
01-05-2018,-0.075
02-05-2018,-0.075
07-05-2018,-0.072
08-05-2018,-0.063
09-05-2018,-0.052
10-05-2018,-0.042
11-05-2018,-0.034
14-05-2018,-0.034
15-05-2018,-0.036
16-05-2018,-0.055
17-05-2018,-0.062
18-05-2018,-0.064
21-05-2018,-0.068
22-05-2018,-0.068
23-05-2018,-0.07
24-05-2018,-0.07
25-05-2018,-0.071
28-05-2018,-0.069
29-05-2018,-0.07
30-05-2018,-0.07
31-05-2018,-0.065
01-06-2018,-0.072
04-06-2018,-0.071
05-06-2018,-0.073
06-06-2018,-0.072
07-06-2018,-0.071
08-06-2018,-0.072
11-06-2018,-0.071
12-06-2018,-0.071
13-06-2018,-0.068
14-06-2018,-0.067
15-06-2018,-0.064
18-06-2018,-0.069
19-06-2018,-0.07
20-06-2018,-0.073
21-06-2018,-0.072
22-06-2018,-0.075
25-06-2018,-0.073
26-06-2018,-0.074
27-06-2018,-0.073
28-06-2018,-0.071
29-06-2018,-0.069
02-07-2018,-0.074
03-07-2018,-0.073
04-07-2018,-0.073
05-07-2018,-0.072
