reference_date,rate
01-08-2023,4.9307
31-07-2023,4.9304
28-07-2023,4.9315
27-07-2023,4.931
26-07-2023,4.931
25-07-2023,4.9308
24-07-2023,4.9309
21-07-2023,4.9306
20-07-2023,4.9305
19-07-2023,4.9303
18-07-2023,4.9301
17-07-2023,4.9299
14-07-2023,4.93
13-07-2023,4.93
12-07-2023,4.9298
11-07-2023,4.9299
10-07-2023,4.9302
07-07-2023,4.9297
06-07-2023,4.9296
05-07-2023,4.93
04-07-2023,4.9291
03-07-2023,4.929
30-06-2023,4.9286
29-06-2023,4.9284
28-06-2023,4.9279
27-06-2023,4.9281
26-06-2023,4.9282
23-06-2023,4.928
22-06-2023,4.9274
21-06-2023,4.4288
20-06-2023,4.4281
19-06-2023,4.428
16-06-2023,4.4279
15-06-2023,4.4284
14-06-2023,4.4283
13-06-2023,4.4281
12-06-2023,4.4283
09-06-2023,4.4281
08-06-2023,4.4279
07-06-2023,4.4278
06-06-2023,4.4279
05-06-2023,4.428
02-06-2023,4.4281
01-06-2023,4.4278
31-05-2023,4.4278
30-05-2023,4.4278
26-05-2023,4.4281
25-05-2023,4.4278
24-05-2023,4.4277
23-05-2023,4.4285
22-05-2023,4.4277
19-05-2023,4.4274
18-05-2023,4.4276
17-05-2023,4.4274
16-05-2023,4.4275
15-05-2023,4.4274
12-05-2023,4.4277
11-05-2023,4.4274
10-05-2023,4.1775
09-05-2023,4.1777
05-05-2023,4.1777
04-05-2023,4.1779
03-05-2023,4.1778
02-05-2023,4.1792
28-04-2023,4.1792
27-04-2023,4.1787
26-04-2023,4.1784
25-04-2023,4.1774
24-04-2023,4.1773
21-04-2023,4.1774
20-04-2023,4.1775
19-04-2023,4.1774
18-04-2023,4.1774
17-04-2023,4.1771
14-04-2023,4.1769
13-04-2023,4.1769
12-04-2023,4.1767
11-04-2023,4.1767
06-04-2023,4.177
05-04-2023,4.1769
04-04-2023,4.1767
03-04-2023,4.1769
31-03-2023,4.1777
30-03-2023,4.1768
29-03-2023,4.1767
28-03-2023,4.1766
27-03-2023,4.1765
24-03-2023,4.1765
23-03-2023,4.1759
22-03-2023,3.927
21-03-2023,3.9269
20-03-2023,3.9268
17-03-2023,3.9268
16-03-2023,3.9272
15-03-2023,3.9272
14-03-2023,3.927
13-03-2023,3.9275
10-03-2023,3.9274
09-03-2023,3.9274
08-03-2023,3.9273
07-03-2023,3.9275
06-03-2023,3.9273
03-03-2023,3.9272
02-03-2023,3.9273
01-03-2023,3.927
28-02-2023,3.927
27-02-2023,3.927
24-02-2023,3.9274
23-02-2023,3.927
22-02-2023,3.927
21-02-2023,3.9272
20-02-2023,3.9275
17-02-2023,3.9271
16-02-2023,3.9273
15-02-2023,3.9273
14-02-2023,3.9272
13-02-2023,3.9271
10-02-2023,3.927
09-02-2023,3.9267
08-02-2023,3.9269
07-02-2023,3.927
06-02-2023,3.9271
03-02-2023,3.9272
02-02-2023,3.9265
01-02-2023,3.4268
31-01-2023,3.4269
30-01-2023,3.4281
27-01-2023,3.4278
26-01-2023,3.4278
25-01-2023,3.4279
24-01-2023,3.4281
23-01-2023,3.4277
20-01-2023,3.4277
19-01-2023,3.4277
18-01-2023,3.4281
17-01-2023,3.4279
16-01-2023,3.4279
13-01-2023,3.4274
12-01-2023,3.4274
11-01-2023,3.4274
10-01-2023,3.4272
