reference_date,rate
02-01-2020,1.49
03-01-2020,1.49
06-01-2020,1.49
07-01-2020,1.49
08-01-2020,1.49
09-01-2020,1.49
10-01-2020,1.49
13-01-2020,1.49
14-01-2020,1.49
15-01-2020,1.49
16-01-2020,1.49
17-01-2020,1.49
20-01-2020,1.49
21-01-2020,1.49
22-01-2020,1.49
23-01-2020,1.49
24-01-2020,1.49
27-01-2020,1.49
28-01-2020,1.49
29-01-2020,1.49
30-01-2020,1.49
31-01-2020,1.49
03-02-2020,1.49
04-02-2020,1.49
05-02-2020,1.49
06-02-2020,1.49
07-02-2020,1.49
10-02-2020,1.49
11-02-2020,1.49
12-02-2020,1.49
13-02-2020,1.49
14-02-2020,1.49
17-02-2020,1.49
18-02-2020,1.49
19-02-2020,1.49
20-02-2020,1.49
21-02-2020,1.49
24-02-2020,1.49
25-02-2020,1.49
26-02-2020,1.49
27-02-2020,1.49
28-02-2020,1.51
02-03-2020,1.49
03-03-2020,1.49
04-03-2020,1.49
05-03-2020,1.49
06-03-2020,1.49
09-03-2020,1.49
10-03-2020,1.49
11-03-2020,1.49
12-03-2020,1.49
13-03-2020,1.49
16-03-2020,0.99
17-03-2020,0.99
18-03-2020,0.99
19-03-2020,0.99
20-03-2020,0.99
23-03-2020,0.24
24-03-2020,0.24
25-03-2020,0.24
26-03-2020,0.24
27-03-2020,0.24
30-03-2020,0.24
31-03-2020,0.24
01-04-2020,0.25
02-04-2020,0.25
03-04-2020,0.25
06-04-2020,0.24
07-04-2020,0.25
08-04-2020,0.25
14-04-2020,0.24
15-04-2020,0.24
16-04-2020,0.24
17-04-2020,0.24
20-04-2020,0.23
21-04-2020,0.24
22-04-2020,0.24
23-04-2020,0.25
24-04-2020,0.25
27-04-2020,0.24
28-04-2020,0.24
29-04-2020,0.24
30-04-2020,0.24
04-05-2020,0.24
05-05-2020,0.24
06-05-2020,0.24
07-05-2020,0.24
08-05-2020,0
11-05-2020,0
12-05-2020,0
13-05-2020,0
14-05-2020,0
15-05-2020,0
18-05-2020,0
19-05-2020,0
20-05-2020,0
22-05-2020,0
25-05-2020,0
26-05-2020,0
27-05-2020,0
28-05-2020,0
29-05-2020,0
02-06-2020,0
03-06-2020,0
04-06-2020,0
05-06-2020,0
08-06-2020,0
09-06-2020,0
10-06-2020,0
11-06-2020,0
12-06-2020,0
15-06-2020,0
16-06-2020,0
17-06-2020,0
18-06-2020,0
19-06-2020,0
22-06-2020,0
23-06-2020,0.01
24-06-2020,-0.01
25-06-2020,-0.01
26-06-2020,-0.01
29-06-2020,0
30-06-2020,-0.01
01-07-2020,0
02-07-2020,0
03-07-2020,0
06-07-2020,0
07-07-2020,0
08-07-2020,-0.01
09-07-2020,0
