reference_date,rate,fixing_12pm,fixing_4pm
31-07-2023,1.702332,1.708204,1.706939
28-07-2023,1.702673,1.709346,1.706919
27-07-2023,1.70246,1.711959,1.710051
26-07-2023,1.703171,1.711535,1.709896
25-07-2023,1.704625,1.709352,1.707377
24-07-2023,1.702515,1.70925,1.707463
21-07-2023,1.699912,1.705708,1.705125
20-07-2023,1.701809,1.706003,1.70439
19-07-2023,1.698396,1.707001,1.705352
18-07-2023,1.70415,1.712938,1.710371
17-07-2023,1.705483,1.713383,1.711864
14-07-2023,1.705028,1.708634,1.707059
13-07-2023,1.706807,1.712759,1.709617
12-07-2023,1.702762,1.71195,1.705652
11-07-2023,1.704296,1.712432,1.709189
10-07-2023,1.703358,1.713597,1.713112
07-07-2023,1.704242,1.712773,1.711487
06-07-2023,1.708765,1.714034,1.712984
05-07-2023,1.707851,1.712481,1.711501
04-07-2023,1.702213,1.713356,1.711568
03-07-2023,1.704213,1.712798,1.712369
30-06-2023,1.706544,1.714031,1.714955
29-06-2023,1.708458,1.715958,1.713125
28-06-2023,1.70968,1.71548,1.714116
27-06-2023,1.70886,1.712266,1.711793
26-06-2023,1.7004,1.708145,1.706993
23-06-2023,1.701615,1.704497,1.703667
22-06-2023,1.448692,1.454784,1.454756
21-06-2023,1.447099,1.454298,1.454
20-06-2023,1.445475,1.451779,1.449935
19-06-2023,1.442093,1.448327,1.445732
16-06-2023,1.440526,1.448962,1.44596
15-06-2023,1.442594,1.450648,1.446251
14-06-2023,1.445878,1.453439,1.452663
13-06-2023,1.443889,1.453916,1.450713
12-06-2023,1.446341,1.456372,1.45481
09-06-2023,1.445362,1.453259,1.450966
08-06-2023,1.442492,1.451747,1.449242
07-06-2023,1.446603,1.453976,1.453243
06-06-2023,1.450229,1.453583,1.452862
05-06-2023,1.44792,1.451586,1.451208
02-06-2023,1.4433,1.449186,1.446045
01-06-2023,1.441654,1.449934,1.444276
31-05-2023,1.441883,1.448464,1.44705
30-05-2023,1.442698,1.448625,1.44624
26-05-2023,1.444863,1.450106,1.448047
25-05-2023,1.446946,1.45282,1.452068
24-05-2023,1.445112,1.449149,1.44807
23-05-2023,1.441378,1.444497,1.444661
22-05-2023,1.439054,1.442822,1.442851
19-05-2023,1.438342,1.441472,1.441599
17-05-2023,1.430799,1.434168,1.434784
16-05-2023,1.426579,1.429296,1.428433
15-05-2023,1.421139,1.422166,1.423285
12-05-2023,1.415745,1.417453,1.417304
11-05-2023,1.413819,1.416536,1.415349
10-05-2023,1.412144,1.415744,1.41369
09-05-2023,1.411864,1.414941,1.413831
08-05-2023,1.412095,1.415019,1.413145
05-05-2023,1.410029,1.413249,1.410471
04-05-2023,1.409696,1.409435,1.409294
03-05-2023,1.409492,1.415075,1.410152
02-05-2023,1.415141,1.418366,1.415473
28-04-2023,1.419656,1.423904,1.422776
27-04-2023,1.4116,1.415306,1.414153
26-04-2023,1.411067,1.41552,1.413566
25-04-2023,1.411953,1.416073,1.41448
24-04-2023,1.406652,1.409745,1.407728
21-04-2023,1.406175,1.40801,1.407106
20-04-2023,1.403713,1.404893,1.404545
19-04-2023,1.403672,1.405212,1.404803
18-04-2023,1.403842,1.409811,1.406234
17-04-2023,1.40519,1.40996,1.407185
14-04-2023,1.406057,1.411893,1.408394
13-04-2023,1.403658,1.405729,1.404421
12-04-2023,1.405669,1.408877,1.407025
11-04-2023,1.406465,1.410492,1.408191
06-04-2023,1.408214,1.40912,1.40829
05-04-2023,1.41309,1.42084,1.416181
04-04-2023,1.420873,1.426334,1.423721
03-04-2023,1.415224,1.418242,1.418979
31-03-2023,1.418617,1.420384,1.422057
30-03-2023,1.408923,1.413712,1.411221
29-03-2023,1.408664,1.414102,1.412058
28-03-2023,1.409683,1.415153,1.411241
27-03-2023,1.416662,1.414763,1.412478
24-03-2023,1.411623,1.415391,1.413377
23-03-2023,0.90927,0.908775,0.908033
22-03-2023,0.910832,0.905525,0.908874
