reference_date,rate
01-08-2023,5.31
31-07-2023,5.31
28-07-2023,5.3
27-07-2023,5.31
26-07-2023,5.06
25-07-2023,5.06
24-07-2023,5.05
21-07-2023,5.05
20-07-2023,5.06
19-07-2023,5.05
18-07-2023,5.06
17-07-2023,5.06
14-07-2023,5.05
13-07-2023,5.06
12-07-2023,5.05
11-07-2023,5.06
10-07-2023,5.06
07-07-2023,5.06
06-07-2023,5.06
05-07-2023,5.06
03-07-2023,5.06
30-06-2023,5.09
29-06-2023,5.06
28-06-2023,5.06
27-06-2023,5.05
26-06-2023,5.05
23-06-2023,5.05
22-06-2023,5.05
21-06-2023,5.05
20-06-2023,5.05
16-06-2023,5.05
15-06-2023,5.06
14-06-2023,5.05
13-06-2023,5.05
12-06-2023,5.05
09-06-2023,5.05
08-06-2023,5.05
07-06-2023,5.05
06-06-2023,5.05
05-06-2023,5.06
02-06-2023,5.07
01-06-2023,5.08
31-05-2023,5.08
30-05-2023,5.06
26-05-2023,5.06
25-05-2023,5.06
24-05-2023,5.05
23-05-2023,5.05
22-05-2023,5.05
19-05-2023,5.05
18-05-2023,5.05
17-05-2023,5.05
16-05-2023,5.05
15-05-2023,5.06
12-05-2023,5.05
11-05-2023,5.05
10-05-2023,5.06
09-05-2023,5.06
08-05-2023,5.06
05-05-2023,5.06
04-05-2023,5.06
03-05-2023,4.81
02-05-2023,4.81
01-05-2023,4.81
28-04-2023,4.81
27-04-2023,4.81
26-04-2023,4.8
25-04-2023,4.8
24-04-2023,4.8
21-04-2023,4.8
20-04-2023,4.8
19-04-2023,4.8
18-04-2023,4.8
17-04-2023,4.8
14-04-2023,4.8
13-04-2023,4.8
12-04-2023,4.8
11-04-2023,4.8
10-04-2023,4.81
06-04-2023,4.81
05-04-2023,4.81
04-04-2023,4.83
03-04-2023,4.84
31-03-2023,4.87
30-03-2023,4.82
29-03-2023,4.83
28-03-2023,4.84
27-03-2023,4.81
24-03-2023,4.8
23-03-2023,4.8
22-03-2023,4.55
21-03-2023,4.55
20-03-2023,4.55
17-03-2023,4.55
16-03-2023,4.57
15-03-2023,4.58
14-03-2023,4.55
13-03-2023,4.55
10-03-2023,4.55
09-03-2023,4.55
08-03-2023,4.55
07-03-2023,4.55
06-03-2023,4.55
03-03-2023,4.55
02-03-2023,4.55
01-03-2023,4.55
28-02-2023,4.55
27-02-2023,4.55
24-02-2023,4.55
23-02-2023,4.55
22-02-2023,4.55
21-02-2023,4.55
17-02-2023,4.55
16-02-2023,4.55
15-02-2023,4.55
14-02-2023,4.55
13-02-2023,4.55
10-02-2023,4.55
09-02-2023,4.55
08-02-2023,4.55
07-02-2023,4.55
06-02-2023,4.55
03-02-2023,4.55
02-02-2023,4.56
01-02-2023,4.31
31-01-2023,4.31
30-01-2023,4.3
27-01-2023,4.3
26-01-2023,4.3
25-01-2023,4.31
24-01-2023,4.3
23-01-2023,4.3
20-01-2023,4.3
19-01-2023,4.31
18-01-2023,4.3
17-01-2023,4.31
13-01-2023,4.3
12-01-2023,4.3
11-01-2023,4.3
10-01-2023,4.31
09-01-2023,4.31
06-01-2023,4.31
05-01-2023,4.31
04-01-2023,4.3
03-01-2023,4.31
30-12-2022,4.3
29-12-2022,4.3
28-12-2022,4.3
27-12-2022,4.3
23-12-2022,4.3
22-12-2022,4.3
21-12-2022,4.3
20-12-2022,4.3
19-12-2022,4.3
16-12-2022,4.32
15-12-2022,4.32
14-12-2022,3.8
13-12-2022,3.8
12-12-2022,3.8
09-12-2022,3.8
08-12-2022,3.8
07-12-2022,3.8
06-12-2022,3.8
05-12-2022,3.81
02-12-2022,3.81
01-12-2022,3.82
30-11-2022,3.82
29-11-2022,3.81
28-11-2022,3.8
25-11-2022,3.8
23-11-2022,3.79
22-11-2022,3.8
21-11-2022,3.8
18-11-2022,3.8
17-11-2022,3.8
16-11-2022,3.81
15-11-2022,3.8
14-11-2022,3.79
10-11-2022,3.78
09-11-2022,3.78
08-11-2022,3.78
07-11-2022,3.78
04-11-2022,3.8
03-11-2022,3.8
02-11-2022,3.05
01-11-2022,3.05
31-10-2022,3.05
28-10-2022,3.05
27-10-2022,3.04
26-10-2022,3.03
25-10-2022,3.02
24-10-2022,3.01
21-10-2022,3.02
20-10-2022,3.03
19-10-2022,3.04
18-10-2022,3.04
17-10-2022,3.05
14-10-2022,3.04
13-10-2022,3.04
12-10-2022,3.04
11-10-2022,3.05
07-10-2022,3.05
06-10-2022,3.05
05-10-2022,3.04
04-10-2022,3.04
03-10-2022,3
30-09-2022,2.98
29-09-2022,2.96
28-09-2022,2.98
27-09-2022,2.98
26-09-2022,2.99
23-09-2022,2.99
22-09-2022,2.99
21-09-2022,2.25
20-09-2022,2.26
19-09-2022,2.27
16-09-2022,2.27
15-09-2022,2.28
14-09-2022,2.27
13-09-2022,2.28
12-09-2022,2.28
09-09-2022,2.28
08-09-2022,2.28
07-09-2022,2.28
06-09-2022,2.29
02-09-2022,2.29
01-09-2022,2.29
31-08-2022,2.29
30-08-2022,2.29
29-08-2022,2.28
26-08-2022,2.28
25-08-2022,2.28
24-08-2022,2.27
23-08-2022,2.27
22-08-2022,2.28
19-08-2022,2.28
18-08-2022,2.28
17-08-2022,2.29
16-08-2022,2.29
15-08-2022,2.29
12-08-2022,2.28
11-08-2022,2.28
10-08-2022,2.28
09-08-2022,2.29
08-08-2022,2.28
05-08-2022,2.28
04-08-2022,2.29
03-08-2022,2.29
02-08-2022,2.3
01-08-2022,2.28
29-07-2022,2.27
28-07-2022,2.28
27-07-2022,1.53
26-07-2022,1.53
25-07-2022,1.53
22-07-2022,1.52
21-07-2022,1.53
20-07-2022,1.53
19-07-2022,1.54
18-07-2022,1.54
15-07-2022,1.54
14-07-2022,1.53
13-07-2022,1.53
12-07-2022,1.54
11-07-2022,1.53
08-07-2022,1.53
07-07-2022,1.54
06-07-2022,1.54
05-07-2022,1.54
01-07-2022,1.52
30-06-2022,1.5
29-06-2022,1.51
28-06-2022,1.52
27-06-2022,1.5
24-06-2022,1.46
23-06-2022,1.44
22-06-2022,1.45
21-06-2022,1.45
17-06-2022,1.45
16-06-2022,1.45
15-06-2022,0.7
14-06-2022,0.69
13-06-2022,0.73
10-06-2022,0.75
09-06-2022,0.75
08-06-2022,0.76
07-06-2022,0.77
06-06-2022,0.78
03-06-2022,0.78
02-06-2022,0.79
01-06-2022,0.8
31-05-2022,0.79
27-05-2022,0.78
26-05-2022,0.78
25-05-2022,0.78
24-05-2022,0.78
23-05-2022,0.78
20-05-2022,0.78
19-05-2022,0.79
18-05-2022,0.79
17-05-2022,0.8
16-05-2022,0.8
13-05-2022,0.79
12-05-2022,0.79
11-05-2022,0.78
10-05-2022,0.78
09-05-2022,0.78
06-05-2022,0.78
05-05-2022,0.79
04-05-2022,0.3
03-05-2022,0.3
02-05-2022,0.3
29-04-2022,0.28
28-04-2022,0.28
27-04-2022,0.28
26-04-2022,0.27
25-04-2022,0.27
22-04-2022,0.27
21-04-2022,0.26
20-04-2022,0.27
19-04-2022,0.28
18-04-2022,0.29
14-04-2022,0.29
13-04-2022,0.29
12-04-2022,0.29
11-04-2022,0.3
08-04-2022,0.3
07-04-2022,0.3
06-04-2022,0.3
05-04-2022,0.3
04-04-2022,0.3
01-04-2022,0.3
31-03-2022,0.29
30-03-2022,0.27
29-03-2022,0.28
28-03-2022,0.28
25-03-2022,0.28
24-03-2022,0.27
23-03-2022,0.27
22-03-2022,0.28
21-03-2022,0.29
18-03-2022,0.3
17-03-2022,0.3
16-03-2022,0.05
15-03-2022,0.05
14-03-2022,0.05
11-03-2022,0.05
10-03-2022,0.05
09-03-2022,0.05
08-03-2022,0.05
07-03-2022,0.05
04-03-2022,0.05
03-03-2022,0.05
02-03-2022,0.05
01-03-2022,0.05
28-02-2022,0.05
25-02-2022,0.05
24-02-2022,0.05
23-02-2022,0.05
22-02-2022,0.05
18-02-2022,0.05
17-02-2022,0.05
16-02-2022,0.05
15-02-2022,0.05
14-02-2022,0.05
11-02-2022,0.05
10-02-2022,0.05
09-02-2022,0.04
08-02-2022,0.05
07-02-2022,0.05
04-02-2022,0.05
03-02-2022,0.05
02-02-2022,0.05
01-02-2022,0.05
31-01-2022,0.05
28-01-2022,0.05
27-01-2022,0.04
26-01-2022,0.04
25-01-2022,0.05
24-01-2022,0.04
21-01-2022,0.05
20-01-2022,0.04
19-01-2022,0.05
18-01-2022,0.05
14-01-2022,0.05
13-01-2022,0.05
12-01-2022,0.05
11-01-2022,0.05
10-01-2022,0.05
07-01-2022,0.05
06-01-2022,0.05
05-01-2022,0.05
04-01-2022,0.05
03-01-2022,0.05
31-12-2021,0.05
30-12-2021,0.05
29-12-2021,0.05
28-12-2021,0.05
27-12-2021,0.05
23-12-2021,0.05
22-12-2021,0.05
21-12-2021,0.05
20-12-2021,0.04
17-12-2021,0.05
16-12-2021,0.05
15-12-2021,0.05
14-12-2021,0.05
13-12-2021,0.05
10-12-2021,0.05
09-12-2021,0.05
08-12-2021,0.05
