reference_date,rate
01-09-2021,-0.104
02-09-2021,-0.096
03-09-2021,-0.101
06-09-2021,-0.109
07-09-2021,-0.104
08-09-2021,-0.100
09-09-2021,-0.110
10-09-2021,-0.108
13-09-2021,-0.102
14-09-2021,-0.100
15-09-2021,-0.115
16-09-2021,-0.113
17-09-2021,-0.112
20-09-2021,-0.112
21-09-2021,-0.112
22-09-2021,-0.103
23-09-2021,-0.103
24-09-2021,-0.106
27-09-2021,-0.106
28-09-2021,-0.107
29-09-2021,-0.106
30-09-2021,-0.111
01-10-2021,-0.109
04-10-2021,-0.102
05-10-2021,-0.101
06-10-2021,-0.104
07-10-2021,-0.106
08-10-2021,-0.113
11-10-2021,-0.115
12-10-2021,-0.115
13-10-2021,-0.118
14-10-2021,-0.107
15-10-2021,-0.105
18-10-2021,-0.109
19-10-2021,-0.108
20-10-2021,-0.105
21-10-2021,-0.108
22-10-2021,-0.109
25-10-2021,-0.110
26-10-2021,-0.108
27-10-2021,-0.110
28-10-2021,-0.109
29-10-2021,-0.099
01-11-2021,-0.103
02-11-2021,-0.111
03-11-2021,-0.115
04-11-2021,-0.119
05-11-2021,-0.118
08-11-2021,-0.116
09-11-2021,-0.114
10-11-2021,-0.120
11-11-2021,-0.124
12-11-2021,-0.115
15-11-2021,-0.108
16-11-2021,-0.108
17-11-2021,-0.108
18-11-2021,-0.109
19-11-2021,-0.112
22-11-2021,-0.125
23-11-2021,-0.120
24-11-2021,-0.115
25-11-2021,-0.124
26-11-2021,-0.110
29-11-2021,-0.115
30-11-2021,-0.117
01-12-2021,-0.114
02-12-2021,-0.115
03-12-2021,-0.111
06-12-2021,-0.110
07-12-2021,-0.109
08-12-2021,-0.110
09-12-2021,-0.107
10-12-2021,-0.113
13-12-2021,-0.106
14-12-2021,-0.106
15-12-2021,-0.114
16-12-2021,-0.113
17-12-2021,-0.111
20-12-2021,-0.117
21-12-2021,-0.122
22-12-2021,-0.113
23-12-2021,-0.122
27-12-2021,-0.126
28-12-2021,-0.122
29-12-2021,-0.122
30-12-2021,-2.970
03-01-2022,-0.116
04-01-2022,-0.125
05-01-2022,-0.125
07-01-2022,-0.118
10-01-2022,-0.112
11-01-2022,-0.112
12-01-2022,-0.112
13-01-2022,-0.106
14-01-2022,-0.113
17-01-2022,-0.111
18-01-2022,-0.105
19-01-2022,-0.109
20-01-2022,-0.110
21-01-2022,-0.113
24-01-2022,-0.112
25-01-2022,-0.115
26-01-2022,-0.112
27-01-2022,-0.113
28-01-2022,-0.122
31-01-2022,-0.121
01-02-2022,-0.132
02-02-2022,-0.119
03-02-2022,-0.122
04-02-2022,-0.110
07-02-2022,-0.114
08-02-2022,-0.122
09-02-2022,-0.122
10-02-2022,-0.122
11-02-2022,-0.113
14-02-2022,-0.100
15-02-2022,-0.100
16-02-2022,-0.100
17-02-2022,-0.100
18-02-2022,-0.103
21-02-2022,-0.104
22-02-2022,-0.100
23-02-2022,-0.098
24-02-2022,-0.093
25-02-2022,-0.094
28-02-2022,-0.101
01-03-2022,-0.102
02-03-2022,-0.098
03-03-2022,-0.096
04-03-2022,-0.089
07-03-2022,-0.109
08-03-2022,-0.106
09-03-2022,-0.095
10-03-2022,-0.094
11-03-2022,-0.100
14-03-2022,-0.100
15-03-2022,-0.100
16-03-2022,-0.101
17-03-2022,-0.100
18-03-2022,-0.101
21-03-2022,-0.101
22-03-2022,-0.105
23-03-2022,-0.109
24-03-2022,-0.100
25-03-2022,-0.100
28-03-2022,-0.107
29-03-2022,-0.107
30-03-2022,-0.108
31-03-2022,-0.106
01-04-2022,-0.108
04-04-2022,-0.106
05-04-2022,-0.110
06-04-2022,-0.118
07-04-2022,-0.106
08-04-2022,-0.108
11-04-2022,-0.110
12-04-2022,-0.106
13-04-2022,-0.115
14-04-2022,-0.109
19-04-2022,-0.106
20-04-2022,-0.103
21-04-2022,-0.100
22-04-2022,-0.101
25-04-2022,-0.104
26-04-2022,-0.108
27-04-2022,-0.106
28-04-2022,-0.104
29-04-2022,-0.106
02-05-2022,-0.105
03-05-2022,-0.109
04-05-2022,0.140
05-05-2022,0.141
06-05-2022,0.143
09-05-2022,0.140
10-05-2022,0.145
11-05-2022,0.148
12-05-2022,0.149
13-05-2022,0.150
16-05-2022,0.149
17-05-2022,0.149
18-05-2022,0.149
19-05-2022,0.150
20-05-2022,0.149
23-05-2022,0.150
24-05-2022,0.143
25-05-2022,0.145
27-05-2022,0.146
30-05-2022,0.147
31-05-2022,0.145
01-06-2022,0.144
02-06-2022,0.145
03-06-2022,0.143
07-06-2022,0.146
08-06-2022,0.148
09-06-2022,0.147
10-06-2022,0.144
13-06-2022,0.144
14-06-2022,0.148
15-06-2022,0.146
16-06-2022,0.143
17-06-2022,0.145
20-06-2022,0.145
21-06-2022,0.145
22-06-2022,0.146
23-06-2022,0.148
27-06-2022,0.147
28-06-2022,0.145
29-06-2022,0.145
30-06-2022,0.149
01-07-2022,0.143
04-07-2022,0.142
05-07-2022,0.147
06-07-2022,0.643
07-07-2022,0.645
08-07-2022,0.645
11-07-2022,0.638
12-07-2022,0.651
13-07-2022,0.641
14-07-2022,0.644
15-07-2022,0.656
18-07-2022,0.649
19-07-2022,0.642
20-07-2022,0.642
21-07-2022,0.644
22-07-2022,0.648
25-07-2022,0.653
26-07-2022,0.645
27-07-2022,0.643
28-07-2022,0.645
29-07-2022,0.654
01-08-2022,0.648
02-08-2022,0.648
03-08-2022,0.649
04-08-2022,0.651
05-08-2022,0.656
08-08-2022,0.647
09-08-2022,0.648
10-08-2022,0.647
11-08-2022,0.647
12-08-2022,0.642
15-08-2022,0.645
16-08-2022,0.644
17-08-2022,0.646
18-08-2022,0.645
19-08-2022,0.644
22-08-2022,0.642
23-08-2022,0.639
24-08-2022,0.637
25-08-2022,0.639
26-08-2022,0.661
29-08-2022,0.646
30-08-2022,0.638
31-08-2022,0.638
01-09-2022,0.639
02-09-2022,0.637
05-09-2022,0.633
06-09-2022,0.640
07-09-2022,0.641
08-09-2022,0.642
09-09-2022,0.642
12-09-2022,0.647
13-09-2022,0.646
14-09-2022,0.648
15-09-2022,0.648
16-09-2022,0.645
19-09-2022,0.647
20-09-2022,0.642
21-09-2022,1.640
22-09-2022,1.638
23-09-2022,1.639
26-09-2022,1.641
27-09-2022,1.643
28-09-2022,1.643
29-09-2022,1.639
30-09-2022,1.645
03-10-2022,1.642
04-10-2022,1.646
05-10-2022,1.635
06-10-2022,1.636
07-10-2022,1.634
10-10-2022,1.634
11-10-2022,1.640
12-10-2022,1.635
13-10-2022,1.635
14-10-2022,1.634
17-10-2022,1.635
18-10-2022,1.638
19-10-2022,1.642
20-10-2022,1.634
21-10-2022,1.639
24-10-2022,1.638
25-10-2022,1.638
26-10-2022,1.642
27-10-2022,1.640
28-10-2022,1.639
31-10-2022,1.638
